name,gas-name,temperature,pressure,gas-critical-temperature,gas-critical-pressure,gas-acentric-factor,gas-molar-mass,target-value
DB0-m3_o156_o45_f0_fsc.sym.32,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.02856612
DB0-m3_o24_o82_f0_fsc.sym.40,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028567504
DB0-m3_o153_o158_f0_fsc.sym.85,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028571598
DB0-m3_o480_o158_f0_fsc.sym.11,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028572393
DB0-m3_o156_o510_f0_fsc.sym.5,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028574188
DB0-m3_o158_o47_f0_fsc.sym.15,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028584974
DB0-m3_o16_o45_f0_fsc.sym.73,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028589072
DB0-m3_o147_o156_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028589362
DB0-m3_o1490_o155_f0_fsc.sym.31,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035752887
DB0-m3_o51_o4_f0_fsc.sym.35,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035754892
DB0-m3_o490_o158_f0_fsc.sym.34,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035755117
DB5-hypotheticalMOF_35592_0_0_2_14_2_4,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035756841
DB0-m3_o42_o155_f0_fsc.sym.11,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035757773
DB0-m3_o24_o147_f0_fsc.sym.34,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035768865
DB0-m3_o1490_o156_f0_fsc.sym.8,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035774728
DB0-m3_o1520_o156_f0_fsc.sym.69,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035793944
DB0-m3_o153_o4_f0_fsc.sym.38,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.035799713
